Wall time,Step,Value
1670630925.5351536,0,10.85321044921875
1670630938.6198206,1,10.761286735534668
1670630950.6690295,2,10.69201946258545
1670630962.4270003,3,10.624804496765137
1670630974.3821545,4,10.483266830444336
1670630986.221693,5,10.36941146850586
1670630999.22989,6,10.2239990234375
1670631011.105366,7,9.977151870727539
1670631022.8975747,8,9.765929222106934
1670631034.5965211,9,9.479756355285645
1670631046.161439,10,9.113768577575684
1670631058.6504183,11,8.760871887207031
1670631070.4105816,12,8.455164909362793
1670631082.371286,13,8.059037208557129
1670631094.0063748,14,7.644647121429443
1670631105.3751633,15,7.3490424156188965
1670631117.9336526,16,7.175107955932617
1670631123.5844514,17,7.26832389831543
1670631135.0269046,18,6.467799186706543
1670631147.574996,19,6.252125263214111
1670631159.073326,20,6.182572841644287
1670631170.5670302,21,6.2930145263671875
1670631182.6000419,22,6.334681987762451
1670631194.314198,23,6.236302852630615
1670631207.204693,24,6.200858116149902
1670631218.9121318,25,6.260538578033447
1670631230.9734192,26,6.001914024353027
1670631243.1061218,27,5.840944766998291
1670631255.4232464,28,6.353792190551758
1670631268.9695053,29,6.024413585662842
1670631280.904182,30,6.147009372711182
1670631292.410946,31,5.519080638885498
1670631304.0944252,32,6.326468467712402
1670631315.7603197,33,6.259436130523682
1670631328.6352458,34,6.08712911605835
1670631334.5161421,35,6.227151393890381
1670631346.3925102,36,6.16787052154541
1670631359.5677803,37,5.803668022155762
1670631371.6160903,38,6.102787971496582
1670631383.4305358,39,6.207019805908203
1670631395.403224,40,5.824164867401123
1670631407.6132188,41,5.905082702636719
1670631420.9265287,42,5.926608562469482
1670631432.8893929,43,5.774311542510986
1670631444.876387,44,6.043461322784424
1670631457.245263,45,5.631320476531982
1670631469.277532,46,6.034421443939209
1670631482.8217442,47,5.885488986968994
1670631495.2360206,48,5.833885669708252
